white won,1,1. k8-i8 d6-d9 2. a4-c4 g7-i7 3. h11-h9 g6-g10 4. e11-e10 g10-i10 5. g11-i11 i10-i9xi8 6. j6-j9xi9 i7-i9 7. k7-k9 h6-h3 8. f2-j2 g5-g9xh9 9. h1-i1 h3-k3 10. g1-h1 f6-i6 11. d1-d3 i6-i2 12. e1-e2 k3-k2xj2 13. j9-j2 k2-k3 14. j2-k2xk3 i2-j2 15. i1-j1 j2-j11 16. b6-d6xe6 j11-k11
white won,2,1. h1-h3 d6-d3 2. a5-c5 f4-c4 3. d11-d6 e7-c7 4. b6-c6 f8-c8 5. f10-b10 f7-f10 6. k8-f8 f10-j10 7. h11-j11 g7-g9 8. j6-j9xj10 f6-f7 9. k7-i7 f7-d7 10. e11-c11 g9-a9 11. b10-a10xa9 d7-d10 12. resigned
black won,3,1. h1-h3 f4-i4 2. g1-g3 h6-h9 3. j6-j9 d6-d9 4. e11-e10 e7-b7 5. a8-b8xb7 f7-b7 6. a7-a9 d9-b9xb8 7. e10-b10 e5-b5xb6 8. d11-c11 e6-e10 9. f10-i10 b5-b2 10. d1-b1 b7-b3 11. a4-a3 f6-c6 12. g3-c3xb3 c6-c4 13. a3-b3xb2 e10-e2 14. f2-i2 e2-c2xc3 15. e1-c1 c4-a4 16. b3-a3 c2-a2xa3 17. h3-a3xa2 b9-b2 18. b10-b3xb2 a4-b4 19. i10-b10 f5-f2 20. b1-b2 g5-g1 21. k6-h6xg6 b4-h4 22. b3-f3xf2 h4-h1 23. i2-i1 i4-j4 24. f3-j3 resigned
white won,4,1. k8-i8 f4-i4 2. j6-j2 d6-d9 3. d11-c11 e7-e10 4. f10-j10 e10-b10 5. e1-e3 e6-e9 6. b6-b8 f6-c6 7. f2-c2 c6-c10 8. b8-b9 f8-b8xb9 9. a8-a9 b10-b9 10. resigned
black won,5,1. f2-c2 g7-g10 2. h11-h10xg10 g6-g10 3. e11-e9 g5-j5 4. k4-j4xj5 h6-h2 5. j6-i6 f8-j8 6. a8-i8xj8 f6-h6 7. i6-i3 f7-j7 8. i8-i7xj7 h6-h8 9. e9-g9xg10 h8-c8 10. f10-c10 c8-i8 11. g9-i9 e6-i6xi7 12. k8-j8 i8-a8 13. i9-a9 i6-i11 14. b6-b8 e5-c5 15. j8-c8 f4-g4 16. i3-h3xh2 f5-f10 17. f1-f9xf10 resigned
black won,6,1. h1-h3 d6-d3 2. f2-c2 g7-i7 3. k8-i8 g6-g9 4. h11-h9 e7-c7 5. f10-f9xg9 e6-e9 6. d11-d9xe9 f6-c6 7. a8-c8 c6-c3 8. b6-b3 g5-j5 9. k4-j4xj5 i7-i2 10. g1-i1 d3-f3 11. h3-i3xi2 c3-c6 12. a7-b7 c6-g6 13. g11-g9 e5-e10 14. e1-e9xe10 c7-e7 15. k7-i7 g6-g2 16. j4-j2 f4-j4 17. k5-k3 g2-g1 18. d1-e1 e7-e4 19. e11-d11 f5-j5 20. d9-d1 f7-f5 21. d11-d8 f5-i5 22. e9-e8 f8-f4 23. g9-g7 f3-g3 24. h9-h7 h6-h3 25. i3-j3 f4-f3 26. f9-f7 resigned
white won,7,1. k8-i8 d6-d3 2. h1-h3 e5-b5 3. a7-b7 e6-e3 4. a8-c8 f6-c6 5. f2-c2 c6-c3 6. a4-b4xb5 c3-a3 7. c2-a2 a3-b3 8. a2-b2 b3-a3 9. b2-a2 d3-b3 10. d1-b1 f5-b5xb4 11. e1-c1 a3-a4 12. a2-a3 b3-b2 13. c8-c5xb5 b2-a2xa3 14. b1-b2 e3-c3 15. c1-c2 a2-a3 16. b6-b3 a4-d4 17. a6-d6 d4-d1 18. c2-c1 d1-d2 19. g1-g2 d2-c2 20. c5-c4 a3-a2xb2 21. b3-b2 a2-a3 22. b2-a2 c2-b2 23. c1-b1 c3-c1xb1xb1 24. a5-a4xa3 b2-b1 25. b7-b2 b1-a1
black won,8,1. h1-h3 d6-d3 2. f2-c2 g7-i7 3. k8-i8 e5-b5 4. a7-c7 g6-g9 5. h11-h9 e6-e2 6. a4-b4xb5 f6-c6 7. a8-d8 c6-c3 8. a5-a3 g5-j5 9. k4-j4xj5 c3-b3 10. c2-b2 f5-b5xb4 11. j6-i6xi7 f7-i7 12. i6-i3 g9-b9 13. b6-b7 b9-a9 14. f10-a10 e2-e5 15. a6-a8xa9 h6-a6 16. k6-i6xi7 f4-a4 17. a8-a7 f8-f4 18. d1-c1 e5-c5 19. i6-c6 b5-b6 20. c1-c4xc5 b3-c3 21. e1-c1 d3-d6xc6 22. k5-a5xa6xa4 c3-g3 23. g11-g10 g3-g7 24. i3-i7 d6-i6 25. a5-i5xi6 b6-i6 26. k7-k6 f4-i4xi5 27. c4-h4xi4 g7-g2 28. j4-j2 g2-g5 29. j2-j5 e7-e2 30. g1-g2 i6-i2 31. h3-i3 g5-g3 32. f1-i1xi2 e2-e1 33. i1-g1 resigned
white won,9,1. k8-i8 f4-c4 2. a8-c8 e5-e2 3. g1-g2 f5-c5 4. b6-b2 f6-f3 5. a4-a3 f3-b3 6. a7-b7 c4-c1 7. d1-d2xe2 c1-b1xb2 8. d2-b2 b1-c1 9. b2-b1 b3-b2 10. a3-a2 c1-c3 11. e1-c1 c3-a3xa2xa2 12. k4-d4 b2-a2 13. f2-c2 a2-a1
black won,10,1. h1-h3 f4-c4 2. f2-c2 f5-f2 3. h3-f3xf2 f6-f4 4. k4-i4 f4-h4 5. g1-i1 g5-j5 6. i4-j4xj5 g6-g1 7. k8-i8 h4-i4 8. f3-i3 i4-i7 9. h11-h9 i7-j7 10. f10-j10 j7-j8 11. i8-i10 j8-j9 12. k7-k9 j9-i9 13. d11-c11 g7-g9xh9 14. a8-a9 h6-h1 15. b6-b10 g9-g2 16. j4-j2 f7-k7 17. j6-j4 i9-i4 18. i3-j3 i4-i9 19. a4-b4 i9-i3 20. b4-b3 c4-a4 21. b3-a3xa4 i3-b3 22. c2-b2 b3-c3 23. d1-c1 d6-d1 24. a6-d6xe6 f8-f3 25. a3-b3 e5-e2 26. b2-c2 g2-f2 27. j2-i2 k7-h7 28. k5-e5 h7-h4 29. e5-e3xe2 c3-d3xe3 30. j4-i4 h4-e4 31. j3-h3 d3-d5 32. a7-d7 d5-k5 33. h3-k3 e7-k7xk6 34. d6-d4 k5-j5 35. i2-j2 e4-e3 36. a5-e5 j5-i5 37. i4-e4 f2-e2 38. b3-d3 g1-g6 39. e11-e6 i5-i2 40. f1-g1xh1 f3-f1xe1xe1 41. f11-f3xe3 g6-h6 42. g1-h1 i2-h2 43. d7-h7 h6-h3 44. g11-g7 h2-i2 45. i10-i7 k7-k8 46. j10-j8 i2-i6 47. a9-f9 i6-f6 48. f9-f7 k8-k5 49. k9-k6 f6-f4 50. j8-j6 resigned
